round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1869,2.2378,1238.1279,26854.1088,28092.2367
1,0.2838,2.1601,1238.1279,1238.1279,2476.2558
2,0.3633,2.0793,1238.1279,1238.1279,2476.2558
3,0.4531,1.9943,1238.1279,1238.1279,2476.2558
4,0.5488,1.9063,1238.1279,26854.1088,28092.2367
5,0.6039,1.8172,1238.1279,1238.1279,2476.2558
6,0.6465,1.7275,1238.1279,1238.1279,2476.2558
7,0.6797,1.6374,1238.1279,1238.1279,2476.2558
8,0.7592,1.5471,1238.1279,26854.1088,28092.2367
9,0.7741,1.4579,1238.1279,1238.1279,2476.2558
10,0.7808,1.3709,1238.1279,1238.1279,2476.2558
11,0.7874,1.2872,1238.1279,1238.1279,2476.2558
12,0.7868,1.2074,1238.1279,26854.1088,28092.2367
13,0.7924,1.1325,1238.1279,1238.1279,2476.2558
14,0.7994,1.0628,1238.1279,1238.1279,2476.2558
15,0.8067,0.9983,1238.1279,1238.1279,2476.2558
16,0.8047,0.9413,1238.1279,26854.1088,28092.2367
17,0.8154,0.8868,1238.1279,1238.1279,2476.2558
18,0.8256,0.8372,1238.1279,1238.1279,2476.2558
19,0.8335,0.7918,1238.1279,1238.1279,2476.2558
20,0.8359,0.7488,1238.1279,26854.1088,28092.2367
21,0.8412,0.7113,1238.1279,1238.1279,2476.2558
22,0.8449,0.6771,1238.1279,1238.1279,2476.2558
23,0.8478,0.6465,1238.1279,1238.1279,2476.2558
24,0.8505,0.6186,1238.1279,26854.1088,28092.2367
25,0.8516,0.5936,1238.1279,1238.1279,2476.2558
26,0.8527,0.5710,1238.1279,1238.1279,2476.2558
27,0.8545,0.5511,1238.1279,1238.1279,2476.2558
28,0.8544,0.5330,1238.1279,26854.1088,28092.2367
29,0.8557,0.5162,1238.1279,1238.1279,2476.2558
30,0.8577,0.5011,1238.1279,1238.1279,2476.2558
31,0.8587,0.4876,1238.1279,1238.1279,2476.2558
32,0.8601,0.4755,1238.1279,26854.1088,28092.2367
33,0.8624,0.4639,1238.1279,1238.1279,2476.2558
34,0.8627,0.4535,1238.1279,1238.1279,2476.2558
35,0.8627,0.4438,1238.1279,1238.1279,2476.2558
36,0.8628,0.4355,1238.1279,26854.1088,28092.2367
37,0.8631,0.4272,1238.1279,1238.1279,2476.2558
38,0.8646,0.4194,1238.1279,1238.1279,2476.2558
39,0.8659,0.4120,1238.1279,1238.1279,2476.2558
40,0.8656,0.4060,1238.1279,26854.1088,28092.2367
41,0.8672,0.3994,1238.1279,1238.1279,2476.2558
42,0.8681,0.3933,1238.1279,1238.1279,2476.2558
43,0.8686,0.3879,1238.1279,1238.1279,2476.2558
44,0.8695,0.3823,1238.1279,26854.1088,28092.2367
45,0.8701,0.3770,1238.1279,1238.1279,2476.2558
46,0.8703,0.3723,1238.1279,1238.1279,2476.2558
47,0.8707,0.3679,1238.1279,1238.1279,2476.2558
48,0.8708,0.3638,1238.1279,26854.1088,28092.2367
49,0.8713,0.3594,1238.1279,1238.1279,2476.2558
50,0.8714,0.3553,1238.1279,1238.1279,2476.2558
51,0.8715,0.3519,1238.1279,1238.1279,2476.2558
52,0.8707,0.3480,1238.1279,26854.1088,28092.2367
53,0.8726,0.3443,1238.1279,1238.1279,2476.2558
54,0.8729,0.3408,1238.1279,1238.1279,2476.2558
55,0.8729,0.3378,1238.1279,1238.1279,2476.2558
56,0.8745,0.3353,1238.1279,26854.1088,28092.2367
57,0.8739,0.3322,1238.1279,1238.1279,2476.2558
58,0.8746,0.3292,1238.1279,1238.1279,2476.2558
59,0.8749,0.3266,1238.1279,1238.1279,2476.2558
60,0.8746,0.3240,1238.1279,26854.1088,28092.2367
61,0.8756,0.3214,1238.1279,1238.1279,2476.2558
62,0.8759,0.3188,1238.1279,1238.1279,2476.2558
63,0.8763,0.3164,1238.1279,1238.1279,2476.2558
64,0.8767,0.3144,1238.1279,26854.1088,28092.2367
65,0.8769,0.3121,1238.1279,1238.1279,2476.2558
66,0.8772,0.3100,1238.1279,1238.1279,2476.2558
67,0.8774,0.3077,1238.1279,1238.1279,2476.2558
68,0.8783,0.3056,1238.1279,26854.1088,28092.2367
69,0.8783,0.3036,1238.1279,1238.1279,2476.2558
70,0.8794,0.3014,1238.1279,1238.1279,2476.2558
71,0.8798,0.2999,1238.1279,1238.1279,2476.2558
72,0.8789,0.2980,1238.1279,26854.1088,28092.2367
73,0.8800,0.2962,1238.1279,1238.1279,2476.2558
74,0.8804,0.2945,1238.1279,1238.1279,2476.2558
75,0.8809,0.2929,1238.1279,1238.1279,2476.2558
76,0.8809,0.2913,1238.1279,26854.1088,28092.2367
77,0.8819,0.2895,1238.1279,1238.1279,2476.2558
78,0.8820,0.2879,1238.1279,1238.1279,2476.2558
79,0.8824,0.2865,1238.1279,1238.1279,2476.2558
80,0.8821,0.2848,1238.1279,26854.1088,28092.2367
81,0.8819,0.2835,1238.1279,1238.1279,2476.2558
82,0.8822,0.2818,1238.1279,1238.1279,2476.2558
83,0.8826,0.2804,1238.1279,1238.1279,2476.2558
84,0.8823,0.2794,1238.1279,26854.1088,28092.2367
85,0.8825,0.2781,1238.1279,1238.1279,2476.2558
86,0.8830,0.2765,1238.1279,1238.1279,2476.2558
87,0.8836,0.2751,1238.1279,1238.1279,2476.2558
88,0.8843,0.2739,1238.1279,26854.1088,28092.2367
89,0.8845,0.2725,1238.1279,1238.1279,2476.2558
90,0.8847,0.2713,1238.1279,1238.1279,2476.2558
91,0.8849,0.2702,1238.1279,1238.1279,2476.2558
92,0.8851,0.2689,1238.1279,26854.1088,28092.2367
93,0.8851,0.2679,1238.1279,1238.1279,2476.2558
94,0.8853,0.2665,1238.1279,1238.1279,2476.2558
95,0.8853,0.2654,1238.1279,1238.1279,2476.2558
96,0.8850,0.2642,1238.1279,26854.1088,28092.2367
97,0.8852,0.2633,1238.1279,1238.1279,2476.2558
98,0.8857,0.2624,1238.1279,1238.1279,2476.2558
99,0.8862,0.2611,1238.1279,1238.1279,2476.2558
100,0.8864,0.2602,1238.1279,26854.1088,28092.2367
